tract,state_abbr,year,hpi
1073004902,AL,2000,154.81
1073005000,AL,2000,140.87
1073005302,AL,2000,127.68
1073005600,AL,2000,246.24
1073005800,AL,2000,117.76
1073005903,AL,2000,148.17
1073005905,AL,2000,129.08
1073005907,AL,2000,125.82
1073005908,AL,2000,117.85
1073005910,AL,2000,142.77
1073010001,AL,2000,127.98
1073010002,AL,2000,130.38
1073010402,AL,2000,123.33
1073010701,AL,2000,152.82
1073010702,AL,2000,237.84
1073010703,AL,2000,242.52
1073010704,AL,2000,193.80
1073010705,AL,2000,234.63
1073010706,AL,2000,156.66
1073010801,AL,2000,269.91
1073010802,AL,2000,259.45
1073010803,AL,2000,154.77
1073010804,AL,2000,184.65
1073010806,AL,2000,181.64
1073010807,AL,2000,167.67
1073011108,AL,2000,158.89
1073011109,AL,2000,154.96
1073011110,AL,2000,150.61
1073011112,AL,2000,155.68
1073011113,AL,2000,149.15
1073011114,AL,2000,142.04
1073011115,AL,2000,142.47
1073011116,AL,2000,152.04
1073011117,AL,2000,139.07
1073011205,AL,2000,120.05
1073011206,AL,2000,142.95
1073011207,AL,2000,132.89
1073011208,AL,2000,131.84
1073011209,AL,2000,126.14
1073011301,AL,2000,125.47
1073011303,AL,2000,141.29
1073011304,AL,2000,145.52
1073011402,AL,2000,153.24
1073011500,AL,2000,134.05
1073011600,AL,2000,144.12
1073011704,AL,2000,146.77
1073011706,AL,2000,133.85
1073011707,AL,2000,143.70
1073011708,AL,2000,139.22
1073011709,AL,2000,153.88
1073011710,AL,2000,136.06
1073011803,AL,2000,128.12
1073011805,AL,2000,125.93
1073011806,AL,2000,136.06
1073012001,AL,2000,126.63
1073012004,AL,2000,140.45
1073012103,AL,2000,143.68
1073012104,AL,2000,120.21
1073012302,AL,2000,139.59
1073012304,AL,2000,102.09
1073012306,AL,2000,141.86
1073012307,AL,2000,197.07
1073012401,AL,2000,130.02
1073012402,AL,2000,130.96
1073012403,AL,2000,129.97
1073012602,AL,2000,115.62
1073012701,AL,2000,141.92
1073012703,AL,2000,137.36
1073012704,AL,2000,93.96
1073012802,AL,2000,181.01
1073012804,AL,2000,206.96
1073012805,AL,2000,97.92
1073012905,AL,2000,173.06
1073012907,AL,2000,155.40
1073012908,AL,2000,162.12
1073012910,AL,2000,170.75
1073012911,AL,2000,179.42
1073012914,AL,2000,148.75
1073012916,AL,2000,158.25
1073012917,AL,2000,146.62
1073012918,AL,2000,
1073012920,AL,2000,168.23
1073012921,AL,2000,179.72
1073013400,AL,2000,108.21
1073013902,AL,2000,107.45
1073014001,AL,2000,139.96
1073014002,AL,2000,160.52
1073014104,AL,2000,105.70
1073014105,AL,2000,114.24
1073014106,AL,2000,117.45
